"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21402","5 Candidate keywords workflow","webkit","2026-06-01","passed","2026-06-01","Recruitment Functional Testing","tests/recruitment/recruitment.spec.js","",""
"","17206","12 Browser back after logout should not restore dashboard","webkit","2026-06-01","passed","2026-06-01","Authentication Functional Testing","tests/auth/auth.spec.js","",""
"","7790","8 Add user required validation workflow","webkit","2026-06-01","passed","2026-06-01","Admin Functional Testing","tests/admin/admin.spec.js","",""
"","31490","15 Add employee login details required validation","chromium","2026-06-01","passed","2026-06-01","PIM Important Functional Testing","tests/pim/pim.spec.js","",""
"","13093","10 Tracker employee autocomplete workflow","firefox","2026-06-01","passed","2026-06-01","Performance Functional Testing","tests/performance/performance.spec.js","",""
"","16909","15 Add user form combined input workflow","webkit","2026-06-01","passed","2026-06-01","Admin Functional Testing","tests/admin/admin.spec.js","",""
"","8742","15 Review page form visibility workflow","firefox","2026-06-01","passed","2026-06-01","Performance Functional Testing","tests/performance/performance.spec.js","",""
"","12069","4 User role dropdown filter workflow","webkit","2026-06-01","passed","2026-06-01","Admin Functional Testing","tests/admin/admin.spec.js","",""
"","17347","10 Dependent relationship dropdown workflow","chromium","2026-06-01","passed","2026-06-01","My Info Functional Testing","tests/myinfo/myinfo.spec.js","",""
"","19305","10 Candidate vacancy filter workflow","chromium","2026-06-01","passed","2026-06-01","Recruitment Functional Testing","tests/recruitment/recruitment.spec.js","",""
"","16680","12 Password mismatch validation workflow","chromium","2026-06-01","passed","2026-06-01","Admin Functional Testing","tests/admin/admin.spec.js","",""
"","14164","2 Add employee with login details","chromium","2026-06-01","passed","2026-06-01","PIM Important Functional Testing","tests/pim/pim.spec.js","",""
"","29671","13 Add employee attachment","webkit","2026-06-01","passed","2026-06-01","PIM Important Functional Testing","tests/pim/pim.spec.js","",""
"","48186","14 Vacancy job title dropdown workflow","webkit","2026-06-01","passed","2026-06-01","Recruitment Functional Testing","tests/recruitment/recruitment.spec.js","",""
"","9238","9 Tracker name input workflow","chromium","2026-06-01","passed","2026-06-01","Performance Functional Testing","tests/performance/performance.spec.js","",""
"","2214","15 Assign leave comment workflow","firefox","2026-06-01","passed","2026-06-01","Leave Functional Testing","tests/leave/leave.spec.js","",""
"","2035","8 My leave reset workflow","webkit","2026-06-01","passed","2026-06-01","Leave Functional Testing","tests/leave/leave.spec.js","",""
"","19518","8 Project report required validation workflow","webkit","2026-06-01","passed","2026-06-01","Time Functional Testing","tests/time/time.spec.js","",""
"","32895","9 Edit dependent details","webkit","2026-06-01","passed","2026-06-01","PIM Important Functional Testing","tests/pim/pim.spec.js","",""
"","1717","7 My leave search workflow","webkit","2026-06-01","passed","2026-06-01","Leave Functional Testing","tests/leave/leave.spec.js","",""
"","7538","15 Add employee login details required validation","webkit","2026-06-01","passed","2026-06-01","PIM Important Functional Testing","tests/pim/pim.spec.js","",""
"","23369","6 Attendance punch note workflow","firefox","2026-06-01","passed","2026-06-01","Time Functional Testing","tests/time/time.spec.js","",""
"","6083","10 Direct dashboard access without login","chromium","2026-06-01","passed","2026-06-01","Authentication Functional Testing","tests/auth/auth.spec.js","",""
"","7977","2 Valid login using keyboard Enter","chromium","2026-06-01","passed","2026-06-01","Authentication Functional Testing","tests/auth/auth.spec.js","",""
"","605","15 Assign leave comment workflow","webkit","2026-06-01","passed","2026-06-01","Leave Functional Testing","tests/leave/leave.spec.js","",""
"","14691","5 Contact street update workflow","firefox","2026-06-01","passed","2026-06-01","My Info Functional Testing","tests/myinfo/myinfo.spec.js","",""
"","21902","12 Browser back after logout should not restore dashboard","chromium","2026-06-01","passed","2026-06-01","Authentication Functional Testing","tests/auth/auth.spec.js","",""
"","7415","10 Add user role dropdown workflow","webkit","2026-06-01","passed","2026-06-01","Admin Functional Testing","tests/admin/admin.spec.js","",""
"","16018","12 Vacancy required validation workflow","firefox","2026-06-01","passed","2026-06-01","Recruitment Functional Testing","tests/recruitment/recruitment.spec.js","",""
"","37420","13 Vacancy name input workflow","webkit","2026-06-01","passed","2026-06-01","Recruitment Functional Testing","tests/recruitment/recruitment.spec.js","",""
"","12211","13 Review employee autocomplete workflow","chromium","2026-06-01","passed","2026-06-01","Performance Functional Testing","tests/performance/performance.spec.js","",""
"","13631","13 Attendance summary employee autocomplete workflow","chromium","2026-06-01","passed","2026-06-01","Time Functional Testing","tests/time/time.spec.js","",""
"","16766","1 Employee timesheet required validation workflow","chromium","2026-06-01","passed","2026-06-01","Time Functional Testing","tests/time/time.spec.js","",""
"","14192","13 Review employee autocomplete workflow","firefox","2026-06-01","passed","2026-06-01","Performance Functional Testing","tests/performance/performance.spec.js","",""
"","8611","6 KPI clear and rewrite name workflow","firefox","2026-06-01","passed","2026-06-01","Performance Functional Testing","tests/performance/performance.spec.js","",""
"","12957","3 Nationality dropdown workflow","webkit","2026-06-01","passed","2026-06-01","My Info Functional Testing","tests/myinfo/myinfo.spec.js","",""
"","11281","2 Valid login using keyboard Enter","firefox","2026-06-01","passed","2026-06-01","Authentication Functional Testing","tests/auth/auth.spec.js","",""
