"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16909","14 Storage state","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","13541","13 Cookie validation","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","11467","4 Open Add User form","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","15958","5 Required validation on empty Add User form","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","17849","3 Reset search filters","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","18239","7 Password masking","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","22650","11 Search button should be visible","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","17285","6 SQL injection","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","25507","9 Password field should be available","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","7801","3 Empty username","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","10511","11 Refresh dashboard","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","12928","2 Search existing admin user","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","11118","5 Empty both","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","19135","15 Logout from Admin module","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","10284","10 Unauthorized access","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","12316","3 Reset search filters","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","16568","9 Password field should be available","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","15357","9 Password field should be available","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","16124","10 Confirm password field should be available","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","18597","12 Multi tab","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","13560","13 Pagination validation if available","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","10748","7 Password masking","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","10539","10 Unauthorized access","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","15533","4 Empty password","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17154","14 Soft assertion on Admin page","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","6934","15 Soft assertions","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","10652","3 Reset search filters","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","20573","14 Soft assertion on Admin page","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","10862","2 Invalid password","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","13577","9 Logout","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","12177","5 Empty both","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","29649","12 Multi tab","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","23482","7 Employee name field should be available","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","14793","12 User table should be visible","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","13437","6 SQL injection","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17014","15 Logout from Admin module","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","12640","6 User role dropdown should open","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","15851","15 Logout from Admin module","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","16034","11 Search button should be visible","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","14969","13 Cookie validation","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","14769","10 Unauthorized access","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","14734","2 Invalid password","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","11416","2 Search existing admin user","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","6620","15 Soft assertions","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","16506","7 Employee name field should be available","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","19833","5 Required validation on empty Add User form","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","19576","12 User table should be visible","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","11525","14 Storage state","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17249","14 Soft assertion on Admin page","webkit","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","10509","8 Refresh login page","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","16208","2 Search existing admin user","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","16733","4 Empty password","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17579","10 Confirm password field should be available","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","11824","14 Storage state","webkit","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","17981","1 Open Admin module","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","11481","13 Pagination validation if available","chromium","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","8405","13 Cookie validation","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","10897","5 Empty both","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","14401","11 Search button should be visible","firefox","2026-05-26","passed","2026-05-26","Admin User Management","admin\admin.spec.js","",""
"","13194","1 Valid login","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","18696","15 Soft assertions","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","12725","6 SQL injection","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","9403","3 Empty username","chromium","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
"","8895","7 Password masking","firefox","2026-05-26","passed","2026-05-26","Authentication & Session Security","auth\auth.spec.js","",""
